iter	Logloss
0	0.6882071534
1	0.6836531989
2	0.6785761393
3	0.6743400797
4	0.6692562894
5	0.6648209522
6	0.6601736294
7	0.6562772967
8	0.6515273871
9	0.6470511202
10	0.643363847
11	0.6393272442
12	0.6356606554
13	0.6311109751
14	0.6275209007
15	0.6233397728
16	0.6196865231
17	0.615802254
18	0.6120622662
19	0.6080722779
20	0.6043351753
21	0.6006139787
22	0.5975940248
23	0.5946410692
24	0.5908152582
25	0.587906862
26	0.5847566307
27	0.5814817728
28	0.5786010236
29	0.5753846298
30	0.5723816451
31	0.5693658701
32	0.5669382116
33	0.564059628
34	0.5614069887
35	0.5590774298
36	0.556222289
37	0.55371845
38	0.5505935561
39	0.5483602787
40	0.5459297896
41	0.5436040044
42	0.5416563618
43	0.5391108746
44	0.536701945
45	0.5340843341
46	0.5322203928
47	0.5305816065
48	0.5282018819
49	0.5262117526
50	0.5242086253
51	0.5222547195
52	0.520504879
53	0.5183396797
54	0.5166059637
55	0.5140312827
56	0.5119178681
57	0.5101345289
58	0.508344793
59	0.5062081291
60	0.5042694118
61	0.5026237427
62	0.5007872497
63	0.4986874036
64	0.4969056383
65	0.4947956353
66	0.4926085442
67	0.4906713456
68	0.4892952575
69	0.487628841
70	0.4859113729
71	0.4840497417
72	0.4826651405
73	0.4809617416
74	0.4794498361
75	0.4776751249
76	0.4764146406
77	0.4753679967
78	0.47402234
79	0.4727231567
80	0.4713849257
81	0.4697723701
82	0.4683651312
83	0.466727857
84	0.4654716671
85	0.4638928268
86	0.4626103994
87	0.4612708999
88	0.46004762
89	0.4585454607
90	0.4577015592
91	0.4567401093
92	0.4558828864
93	0.4548140414
94	0.4536194603
95	0.452594213
96	0.4510977537
97	0.449892611
98	0.4486165421
99	0.4476744821
100	0.4468130794
101	0.4461396722
102	0.4447767934
103	0.4440830381
104	0.4428951576
105	0.4419327653
106	0.4409417701
107	0.4399902977
108	0.4388918373
109	0.4379589031
110	0.4370252036
111	0.4359287347
112	0.4348346524
113	0.4341203397
114	0.4331897474
115	0.432105529
116	0.4315861779
117	0.4304127087
118	0.4297652916
119	0.4288075711
120	0.4279404239
121	0.4271267981
122	0.4263140736
123	0.4254453763
124	0.4246368709
125	0.4239310883
126	0.4233831931
127	0.4227985471
128	0.4220171674
129	0.4213693523
130	0.4205342889
131	0.4196128205
132	0.4186842859
133	0.4179180232
134	0.4171581443
135	0.4162892013
136	0.4156767486
137	0.4150169144
138	0.4144992993
139	0.4137695855
